8.10.2018;8939
9.10.2018;7709
10.10.2018;7425
11.10.2018;9979
12.10.2018;7898
13.10.2018;9885
14.10.2018;8229
15.10.2018;8891
16.10.2018;9979
17.10.2018;8229
18.10.2018;9743
19.10.2018;10358
20.10.2018;6479
21.10.2018;7946
22.10.2018;8655
23.10.2018;9885
24.10.2018;9885
25.10.2018;8655
26.10.2018;6858
27.10.2018;5959
28.10.2018;6101
29.10.2018;7473
30.10.2018;8418
31.10.2018;9506
1.11.2018;6338
2.11.2018;9695
3.11.2018;7189
4.11.2018;9459
5.11.2018;9459
6.11.2018;15844
7.11.2018;10452
8.11.2018;9648
9.11.2018;8750
10.11.2018;9317
11.11.2018;9317
12.11.2018;11445
13.11.2018;10358
14.11.2018;11351
15.11.2018;8655
16.11.2018;9695
17.11.2018;8560
18.11.2018;7520
19.11.2018;13101
20.11.2018;10216
21.11.2018;13006
22.11.2018;11209
23.11.2018;8608
24.11.2018;10547
25.11.2018;9554
26.11.2018;14141
27.11.2018;10499
28.11.2018;10499
29.11.2018;9743
30.11.2018;10074
1.12.2018;6385
2.12.2018;12864
3.12.2018;16600
4.12.2018;9601
5.12.2018;11871
6.12.2018;9270
7.12.2018;11020
8.12.2018;6574
9.12.2018;8844
10.12.2018;12911
11.12.2018;10689
12.12.2018;10878
13.12.2018;12439
14.12.2018;8418
15.12.2018;7567
16.12.2018;8891
17.12.2018;10878
18.12.2018;11351
19.12.2018;11256
20.12.2018;10358
21.12.2018;9695
22.12.2018;9033
23.12.2018;7662
24.12.2018;10216
25.12.2018;9932
26.12.2018;9932
27.12.2018;11209
28.12.2018;9695
29.12.2018;9222
30.12.2018;9412
31.12.2018;6858
1.01.2019;10547
2.01.2019;9648
3.01.2019;12202
4.01.2019;11209
5.01.2019;9885
6.01.2019;11209
7.01.2019;12580
8.01.2019;10405
9.01.2019;10831
10.01.2019;9885
11.01.2019;10358
12.01.2019;10831
13.01.2019;12628
14.01.2019;11824
15.01.2019;13290
16.01.2019;11966
17.01.2019;11776
18.01.2019;10641
19.01.2019;8182
20.01.2019;10263
21.01.2019;12344
22.01.2019;13006
23.01.2019;12770
24.01.2019;11966
25.01.2019;10972
26.01.2019;11398
27.01.2019;13148
28.01.2019;13621
29.01.2019;13290
30.01.2019;11162
31.01.2019;14236
1.02.2019;11351
2.02.2019;10925
3.02.2019;12155
4.02.2019;14425
5.02.2019;14472
6.02.2019;12391
7.02.2019;12486
8.02.2019;14094
9.02.2019;12533
10.02.2019;11635
11.02.2019;15702
12.02.2019;11871
13.02.2019;11162
14.02.2019;9837
15.02.2019;11776
16.02.2019;13243
17.02.2019;12817
18.02.2019;14425
19.02.2019;11776
20.02.2019;14378
21.02.2019;12249
22.02.2019;13148
23.02.2019;10074
24.02.2019;12486
25.02.2019;13479
26.02.2019;13243
27.02.2019;12817
28.02.2019;11824
1.03.2019;11635
2.03.2019;12675
3.03.2019;11493
4.03.2019;15844
5.03.2019;14141
6.03.2019;11776
7.03.2019;13101
8.03.2019;13668
9.03.2019;15986
10.03.2019;15087
11.03.2019;16932
12.03.2019;15938
13.03.2019;20762
14.03.2019;19296
15.03.2019;18350
16.03.2019;19296
17.03.2019;19107
18.03.2019;21519
19.03.2019;18445
20.03.2019;17168
21.03.2019;22370
22.03.2019;21330
23.03.2019;20242
24.03.2019;20573
25.03.2019;27999
26.03.2019;28188
27.03.2019;23742
28.03.2019;26107
29.03.2019;25161
30.03.2019;23080
31.03.2019;19533
1.04.2019;24641
2.04.2019;23033
3.04.2019;26958
4.04.2019;24782
5.04.2019;23127
6.04.2019;22938
7.04.2019;22323
8.04.2019;24546
9.04.2019;28661
10.04.2019;27904
11.04.2019;26580
12.04.2019;26722
13.04.2019;24404
14.04.2019;25823
15.04.2019;28613
16.04.2019;29039
17.04.2019;29086
18.04.2019;26722
19.04.2019;25066
20.04.2019;25019
21.04.2019;23174
22.04.2019;28330
23.04.2019;24546
24.04.2019;27904
25.04.2019;28282
26.04.2019;26816
27.04.2019;24972
28.04.2019;24026
29.04.2019;29323
30.04.2019;27951
1.05.2019;27053
2.05.2019;27005
3.05.2019;28282
4.05.2019;25303
5.05.2019;22181
6.05.2019;25397
7.05.2019;27762
8.05.2019;26911
9.05.2019;29465
10.05.2019;25870
11.05.2019;25397
12.05.2019;21141
13.05.2019;28897
14.05.2019;31688
15.05.2019;31782
